id,found,title,primary_category_code,all_category_codes,higher_level_primary,lower_level_primary,error
0907.2648,True,Barnett Effect in Thin Magnetic Films and Nanostructures,cond-mat.mes-hall,cond-mat.mes-hall;cond-mat.mtrl-sci,Condensed Matter,Mesoscale and Nanoscale Physics,
0907.2720,False,,,,,,not found in API response
0907.2870,True,On the least common multiple of $q$-binomial coefficients,math.NT,math.NT;math.CO,Mathematics,NT,
0907.2872,False,,,,,,not found in API response
0907.2959,True,New Reflections on Electron's Energy and Wavefunction in the Hydrogen Atom,physics.gen-ph,physics.gen-ph,Physics,gen ph,
0907.2967,False,,,,,,not found in API response
0907.2994,False,,,,,,not found in API response
0907.3017,True,Spin drag in noncondensed Bose gases,cond-mat.quant-gas,cond-mat.quant-gas,Condensed Matter,quant gas,
0907.3028,True,"Dark matter, MOND or non-local gravity?",astro-ph.GA,astro-ph.GA,Astrophysics,GA,
0907.3040,True,Storage by trapping and spatial staggering of multiple interacting solitons in $Λ$-type media,physics.optics,physics.optics,Physics,optics,
0907.3145,False,,,,,,not found in API response
0907.3172,True,Solitons in Tonks-Girardeau gas with dipolar interactions,cond-mat.quant-gas,cond-mat.quant-gas;nlin.PS,Condensed Matter,quant gas,
0907.3206,True,Dynamics after a sweep through a quantum critical point,cond-mat.str-el,cond-mat.str-el,Condensed Matter,str el,
0907.3283,False,,,,,,not found in API response
0907.3284,True,Modified detrended fluctuation analysis based on empirical mode decomposition,cond-mat.stat-mech,cond-mat.stat-mech;q-fin.ST,Condensed Matter,stat mech,
0907.3505,False,,,,,,not found in API response
1701.00003,False,,,,,,not found in API response
1701.00176,False,,,,,,not found in API response
1701.00226,True,Testing conformal gravity with astrophysical black holes,gr-qc,gr-qc;astro-ph.HE,gr-qc,,
1701.00357,False,,,,,,not found in API response
1701.00692,False,,,,,,not found in API response
1701.00847,False,,,,,,not found in API response
1701.00898,False,,,,,,not found in API response
1701.00986,False,,,,,,not found in API response
1701.01008,False,,,,,,not found in API response
1701.01071,True,Generalized Edwards thermodynamics and marginal stability in a driven system with dry and viscous friction,cond-mat.stat-mech,cond-mat.stat-mech;cond-mat.soft,Condensed Matter,stat mech,
1701.01109,True,Fast Radio Bursts from Extragalactic Light Sails,astro-ph.HE,astro-ph.HE;astro-ph.CO,Astrophysics,HE,
1701.01408,False,,,,,,not found in API response
1701.01521,False,,,,,,not found in API response
1701.01531,False,,,,,,not found in API response
1701.01567,False,,,,,,not found in API response
1701.01647,False,,,,,,not found in API response
1701.01686,False,,,,,,not found in API response
1701.01815,False,,,,,,not found in API response
1701.01921,False,,,,,,not found in API response
1701.03108,True,Supercurrent Vortex Pinball via a Triplet Cooper Pair Inverse Edelstein Effect,cond-mat.supr-con,cond-mat.supr-con,Condensed Matter,supr con,
1810.00215,True,No entire inner functions,math.CV,math.CV;math.CA;math.FA,Mathematics,CV,
1810.00264,False,,,,,,not found in API response
1810.00524,True,Rapid production of many-body entanglement in spin-1 atoms via cavity output photon counting,quant-ph,quant-ph,Quantum Physics,,
1810.00641,False,,,,,,not found in API response
1810.00929,True,Non-Iterative Characteristics Analysis for High-Pressure Ramp Loading,physics.comp-ph,physics.comp-ph;cond-mat.mtrl-sci,Physics,comp ph,
1810.01085,False,,,,,,not found in API response
1810.01153,False,,,,,,not found in API response
1810.01819,False,,,,,,not found in API response
1810.01821,False,,,,,,not found in API response
1810.01936,True,Fundraising and vote distribution: a non-equilibrium statistical approach,physics.soc-ph,physics.soc-ph;cond-mat.stat-mech,Physics,soc ph,
