article_id	n_equations	n_edges	longest_path	accuracy	precision	recall	f1
0903.0173	18	11	4	0.6785714285714286	0.17647058823529413	0.42857142857142855	0.25
0907.2648	10	8	3	0.45	0.0	0.0	0.0
0907.2870	10	11	4	0.8444444444444444	0.2222222222222222	0.2222222222222222	0.2222222222222222
0907.2872	10	10	6	0.9166666666666666	0.45454545454545453	0.5	0.47619047619047616
0907.2959	18	18	8	0.8035714285714286	0.2857142857142857	0.25	0.26666666666666666
0907.3028	6	5	3	0.9285714285714286	0.7142857142857143	0.7142857142857143	0.7142857142857143
0907.3206	8	4	2	0.7857142857142857	0.5	0.3333333333333333	0.4
0908.0117	11	4	2	0.7142857142857143	0.2222222222222222	0.2857142857142857	0.25
1212.6098	5	4	2	0.9444444444444444	0.7777777777777778	0.7777777777777778	0.7777777777777778
1301.0165	7	4	2	0.7666666666666667	0.3333333333333333	0.4	0.3636363636363636
1301.0183	15	11	4				
1301.0880	6	3	3				
1312.7345	4	3	2				
1312.7761	9	4	2				
1312.7860	14	5	4				
1409.0010	5	3	2				
1409.0110	10	6	1				
1409.0380	11	11	2				
1501.05606	9	7	4				
1502.04909	12	11	2				
1510.00210	8	7	3				
1510.00716	9	5	3				
1510.01138	11	8	2				
1510.01448	7	5	2				
1612.00053	10	12	4				
1612.00217	2	1	1				
1612.00463	14	13	3				
1612.00629	11	5	2				
1701.00003	16	20	7				
1701.00016	13	11	3				
1701.00452	12	6	2				
1701.00648	9	8	4				
1701.00692	14	9	2				
1701.00847	9	7	4				
1701.00986	10	7	4				
1701.01408	11	9	7				
1701.01686	5	3	1				
1701.01815	6	4	2				
1801.04910	13	9	5				
1810.00524	14	7	2				
1810.00641	16	12	2				
1810.01085	11	7	3				
1810.01819	5	4	2				
1810.01936	7	5	1				
1812.11581	13	7	2				
1901.00089	14	10	3				
1901.00781	7	2	1				
1908.00372	7	2	2				
1908.00778	4	2	1				
1908.01025	8	5	3				
1908.01434	13	10	4				
2012.15327	6	6	2				
2201.02359	12	8	4				
2204.00093	8	5	1				
2301.00029	15	8	2				
2312.08485	6	3	2				
2401.01364	7	5	2				
2404.04045v1	10	10	2				
2412.17095	6	2	1				
2501.01969	8	4	2				
cond-mat9704033	16	25	7				
cond-mat9704091	15	11	4				
math/9201230	5	1	1				
physics9704005	15	15	2				
